requirement_id,group,practice_question,formalization_class,proposed_formal_target,legal_or_semantic_preconditions,external_validation_obligation,proof_family_ids,task_ids,minimal_counterexample_test,proof_status
D119,13 办案、交易工作流与策略,对关键基础设施和收入来源的风险应怎样排序？,语义/经验混合（仍有必证结构）,排序按明示偏好/风险度量执行，硬法律约束不被权重抵消,风险维度、客户偏好与共有依赖已确定,风险概率、效用和外部校准,M09;M11;M15;M16,EXT04;EXT08;EXT09;ROOT04;ROOT06;ROOT08;T01;T08;T09;T10;T21;T22;T24,将任意重要性权重误标法定唯一优先序,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D120,13 办案、交易工作流与策略,先例市场条款比较如何支持谈判立场而非成为法律规则？,语义/经验混合（仍有必证结构）,先例条款分布与规范效力分类型；建议明确来自市场样本而非法律义务,样本口径和谈判目标明定,选择偏差和对手反应,M02;M12;M15;M16,EXT06;EXT07;EXT08;EXT09;ROOT06;ROOT08;T01;T03;T12;T13;T14;T15;T20;T21;T22;T24,多数合同如此写不自动推导依法必须如此,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D121,13 办案、交易工作流与策略,第三方传票应提出何种异议、撤销申请或保护措施？,法律条件计算优先（须显式政策）,异议/撤销/保护措施按法域、主体资格、阶段及期限组成合法选项,美国对应程序规则与具体事实准入,最佳策略与法官反应,M02;M03;M07;M15;M16,EXT08;EXT09;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T20;T21;T22;T24,将非当事人异议路径无条件给另一诉讼当事人,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D122,13 办案、交易工作流与策略,庭审或口头辩论提纲能否回应最佳反方观点与具体事实？,语义/经验混合（仍有必证结构）,提纲覆盖冻结的主要主张/反驳图并保留证据依赖与备位结构,论证候选范围及对抗目标明确,未知最佳反方、庭审表现和说服力,M05;M06;M13;M16,EXT03;EXT05;EXT09;ROOT05;ROOT06;ROOT08;T01;T04;T05;T06;T22;T24,只列弱反方并以数量宣称已回应最强反方,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D123,13 办案、交易工作流与策略,多跳法律工具查询是否足以支撑最后报告中的每项陈述？,机械精化优先（给定结构输入）,最终每个数据断言链接查询输入、中间连接、原记录与转换见证,查询器/库快照及字段语义固定,原始服务真实性和覆盖,M02;M05;M14;M16,EXT05;EXT09;ROOT06;ROOT07;ROOT08;T01;T03;T04;T20;T22;T23;T24,接口超时返回空列表，不能写成查无诉讼,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D124,14 伦理、隐私与表达可靠性,专业利益冲突是否被识别并在批准中给出保障措施？,法律条件计算优先（须显式政策）,利益关系图触发已登记的冲突与处置义务；豁免或批准需适当权限,职业/公司规则和不可豁免冲突明确,未披露关系及法律伦理评价,M01;M03;M14;M16,EXT09;REV02;ROOT02;ROOT06;ROOT07;ROOT08;T01;T02;T16;T17;T18;T19;T22;T23;T24,只生成董事会批准草稿就自动消除实际利益冲突,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D125,14 伦理、隐私与表达可靠性,回答是否体现偏见、歧视或不当的法律伦理判断？,语义/经验混合（仍有必证结构）,可指定的反事实输入不变性/群体风险指标分别检验；不自动等同公平全概念,哪些属性不应影响哪些输出由法律政策确定,结构偏差、测量误差及价值争议,M12;M14;M16,EXT06;EXT07;EXT09;ROOT06;ROOT07;ROOT08;T01;T12;T13;T14;T15;T22;T23;T24,移除敏感属性但代理变量仍泄露，不得声称已证明公平,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D126,14 伦理、隐私与表达可靠性,隐私政策如何描述收集、使用、共享、保存与用户权利？,法律条件计算优先（须显式政策）,隐私政策承诺、实际数据流与准许用途分开，检查指定披露/行为规则,数据类别、目的、许可及保存政策,真实运营是否遵守、用户理解,M02;M03;M14;M16,EXT09;ROOT06;ROOT07;ROOT08;T01;T03;T16;T17;T18;T19;T20;T22;T23;T24,文本写“不共享”不能直接证明代码与运营从不共享,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D127,14 伦理、隐私与表达可靠性,供应链披露是否包含规定项目，与最佳实践是否区分？,法律条件计算优先（须显式政策）,法定必需披露集合逐项覆盖；最佳实践保持建议类型,适用主体、年度、披露规范明定,实质信息真实充分,M02;M03;M16,EXT09;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T20;T22;T24,遗漏法定项目却用更多可选披露补分，不算满足,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D128,14 伦理、隐私与表达可靠性,法律与道德、社会影响问题能否给出符合题目要求的判断？,语义/经验混合（仍有必证结构）,可形式化的是明示价值序/约束下的决策与敏感性，不从事实推出价值,价值前提及冲突取舍明确授权,道德正当性与社会影响评价,M12;M15;M16,EXT06;EXT07;EXT08;EXT09;ROOT06;ROOT08;T01;T12;T13;T14;T15;T21;T22;T24,把评分rubric或历史多数偏好当规范真理,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D129,14 伦理、隐私与表达可靠性,引文、事实和数值是否有据，是否有幻觉或相关但误用的信息？,法律条件计算优先（须显式政策）,引文回读、数值重算、支持范围与声明逐项绑定；冲突未决不升级,保护命题及已选语义定义,自由文本幻觉识别召回,M02;M05;M09;M13;M16,EXT05;EXT09;ROOT04;ROOT05;ROOT06;ROOT08;T01;T03;T04;T08;T09;T10;T20;T22;T24,引用真实但不支持该命题仍应失败,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D130,14 伦理、隐私与表达可靠性,不同事实、规则、法域及假设的结论是否被不当混成单一确定答案？,机械精化优先（给定结构输入）,不同κ、事实假设或解释的结果不得组成一个无条件见证,共同身份及相容关系明确,跨情景自然语言投影审核,M01;M06;M11;M16,EXT03;EXT04;EXT09;REV02;ROOT02;ROOT06;ROOT08;T01;T02;T05;T06;T09;T22;T24,从互斥分支各取有利结论合并必须拒绝,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D131,15 美国法特定问题与法律语言任务,法条是否明文赋予私人起诉实施权利的途径？,法律条件计算优先（须显式政策）,规定的私人起诉途径/权限与实体权利分别标识，并在选择法片段内判定,具体美国法条语义及题型范围已核定,隐含诉权与法条解释不由字符串解决,M02;M03;M08;M16,EXT09;ROOT06;ROOT08;T01;T03;T16;T17;T18;T19;T20;T22;T24,存在禁止性条文不自动推出任何私人可起诉,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D132,15 美国法特定问题与法律语言任务,最高法院审理问题应对应哪一个核心裁判要旨，而非相近措辞？,语义/经验混合（仍有必证结构）,holding匹配在给定候选与问题语义下检查；类案迁移另证相关特征,问题、核心要旨和候选含义明确,法律语言理解与先例控制力,M02;M04;M06;M16,EXT03;EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T05;T06;T20;T22;T24,关键词相似的旁论不能替代核心裁判要旨,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D133,15 美国法特定问题与法律语言任务,证券集体诉讼片段是否载明原告；有多人时是否全部抽取？,语义/经验混合（仍有必证结构）,片段原告提及集合完整抽取需独立跨度标注；多主体键不合并,给定文段范围和mention/person映射准入,新文本召回和指代消解,M01;M04;M16,EXT09;REV02;ROOT02;ROOT03;ROOT06;ROOT08;T01;T02;T03;T22;T24,首个名字抽对不等于全体原告齐全,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
D134,15 美国法特定问题与法律语言任务,劳动歧视案因果论证使用统计还是直接证据？这不是估计干预效果。,语义/经验混合（仍有必证结构）,输出“统计/直接证据使用”是文本分类；不得自动生成do效果结论,该任务标签与法律论证语义明确,分类器真实表现,M04;M12;M16,EXT06;EXT07;EXT09;ROOT03;ROOT06;ROOT08;T01;T03;T12;T13;T14;T15;T22;T24,统计证据类别命中不意味着识别了个案因果效应,OBLIGATIONS_INSTANTIATION_PENDING_NOT_PROVED
